ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
"Color [A=255, R=255, G=0, B=255]",Depth Dose,Photons,15,Water,"7.5, 15"
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,0,0,8.6,79.17,
,0,0,8.5,79.55,
,0,0,8.4,79.95,
,0,0,8.3,80.33,
,0,0,8.2,80.59,
,0,0,8.1,80.98,
,0,0,8,81.4,
,0,0,7.9,81.79,
,0,0,7.8,82.17,
,0,0,7.7,82.52,
,0,0,7.6,82.95,
,0,0,7.5,83.3,
,0,0,7.39,83.64,
,0,0,7.29,83.98,
,0,0,7.19,84.29,
,0,0,7.09,84.61,
,0,0,6.99,85.13,
,0,0,6.89,85.58,
,0,0,6.79,86.03,
,0,0,6.69,86.47,
,0,0,6.59,86.85,
,0,0,6.49,87.18,
,0,0,6.39,87.46,
,0,0,6.29,87.88,
,0,0,6.19,88.31,
,0,0,6.09,88.73,
,0,0,5.99,89.11,
,0,0,5.89,89.45,
,0,0,5.79,89.79,
,0,0,5.69,90.17,
,0,0,5.59,90.58,
,0,0,5.49,91.01,
,0,0,5.39,91.44,
,0,0,5.29,91.79,
,0,0,5.19,92.06,
,0,0,5.09,92.53,
,0,0,4.99,93,
,0,0,4.89,93.35,
,0,0,4.79,93.62,
,0,0,4.69,94.02,
,0,0,4.59,94.55,
,0,0,4.49,94.97,
,0,0,4.39,95.34,
,0,0,4.29,95.71,
,0,0,4.19,96.07,
,0,0,4.09,96.28,
,0,0,3.99,96.69,
,0,0,3.88,97.09,
,0,0,3.78,97.45,
,0,0,3.68,97.79,
,0,0,3.58,98.11,
,0,0,3.48,98.52,
,0,0,3.38,98.76,
,0,0,3.28,99.01,
,0,0,3.18,99.26,
,0,0,3.08,99.49,
,0,0,2.98,99.67,
,0,0,2.88,99.69,
,0,0,2.78,99.86,
,0,0,2.68,99.95,
,0,0,2.58,99.97,
,0,0,2.48,99.9,
,0,0,2.38,99.74,
,0,0,2.28,99.57,
,0,0,2.18,99.26,
,0,0,2.08,98.93,
,0,0,1.98,98.5,
,0,0,1.88,97.91,
,0,0,1.78,97.19,
,0,0,1.68,96.49,
,0,0,1.58,95.28,
,0,0,1.48,93.89,
,0,0,1.38,92.39,
,0,0,1.28,90.78,
,0,0,1.18,88.94,
,0,0,1.08,86.67,
,0,0,0.98,83.96,
,0,0,0.88,80.82,
,0,0,0.78,77.25,
,0,0,0.68,73.26,
,0,0,0.58,68.82,
,0,0,0.47,63.09,
,0,0,0.37,56.73,
,0,0,0.27,50.44,
,0,0,0.17,45.12,
,0,0,0.07,41.47,
