ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
Color [A=255, R=255, G=0, B=255],Depth Dose,Photons,15,Water,10, 10
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,0,0,11.6,67.91,
,0,0,11.5,68.41,
,0,0,11.4,68.81,
,0,0,11.3,69.33,
,0,0,11.2,69.44,
,0,0,11.1,69.65,
,0,0,11,69.94,
,0,0,10.9,70.19,
,0,0,10.8,70.39,
,0,0,10.7,70.86,
,0,0,10.6,71.22,
,0,0,10.5,71.49,
,0,0,10.4,71.73,
,0,0,10.3,72,
,0,0,10.2,72.39,
,0,0,10.1,72.92,
,0,0,10,73.22,
,0,0,9.9,73.66,
,0,0,9.8,74.06,
,0,0,9.7,74.33,
,0,0,9.6,74.47,
,0,0,9.5,74.72,
,0,0,9.4,75.59,
,0,0,9.3,75.84,
,0,0,9.2,76.1,
,0,0,9.1,76.57,
,0,0,9,77.15,
,0,0,8.9,77.59,
,0,0,8.8,77.59,
,0,0,8.7,77.92,
,0,0,8.6,78.34,
,0,0,8.5,78.72,
,0,0,8.4,79.06,
,0,0,8.3,79.41,
,0,0,8.2,79.8,
,0,0,8.1,80.2,
,0,0,8,80.58,
,0,0,7.9,80.76,
,0,0,7.8,80.7,
,0,0,7.7,81.53,
,0,0,7.6,81.97,
,0,0,7.5,82.38,
,0,0,7.39,82.76,
,0,0,7.29,83.09,
,0,0,7.19,83.4,
,0,0,7.09,83.98,
,0,0,6.99,84.13,
,0,0,6.89,84.43,
,0,0,6.79,84.84,
,0,0,6.69,85.23,
,0,0,6.59,85.57,
,0,0,6.49,86.13,
,0,0,6.39,86.53,
,0,0,6.29,86.78,
,0,0,6.19,87.07,
,0,0,6.09,87.49,
,0,0,5.99,87.98,
,0,0,5.89,88.08,
,0,0,5.79,88.62,
,0,0,5.69,89.03,
,0,0,5.59,89.42,
,0,0,5.49,89.83,
,0,0,5.39,90.21,
,0,0,5.29,90.72,
,0,0,5.19,91.18,
,0,0,5.09,91.6,
,0,0,4.99,92,
,0,0,4.89,92.27,
,0,0,4.79,92.34,
,0,0,4.69,93.12,
,0,0,4.59,93.6,
,0,0,4.49,94.11,
,0,0,4.39,94.4,
,0,0,4.29,94.55,
,0,0,4.19,95.07,
,0,0,4.09,95.51,
,0,0,3.99,96.01,
,0,0,3.88,96.36,
,0,0,3.78,96.79,
,0,0,3.68,97.23,
,0,0,3.58,97.28,
,0,0,3.48,97.8,
,0,0,3.38,98.02,
,0,0,3.28,98.04,
,0,0,3.18,98.22,
,0,0,3.08,98.76,
,0,0,2.98,99.49,
,0,0,2.88,99.62,
,0,0,2.78,99.86,
,0,0,2.68,99.92,
,0,0,2.58,99.87,
,0,0,2.48,99.88,
,0,0,2.38,99.98,
,0,0,2.28,100,
,0,0,2.18,99.82,
,0,0,2.08,99.59,
,0,0,1.98,99.26,
,0,0,1.88,98.85,
,0,0,1.78,98.48,
,0,0,1.68,97.67,
,0,0,1.58,96.82,
,0,0,1.48,95.92,
,0,0,1.38,94.83,
,0,0,1.28,93.47,
,0,0,1.18,91.87,
,0,0,1.08,89.46,
,0,0,0.98,86.94,
,0,0,0.88,84.2,
,0,0,0.78,81.08,
,0,0,0.68,77.38,
,0,0,0.58,72.79,
,0,0,0.47,66.64,
,0,0,0.37,60.08,
,0,0,0.27,53.33,
,0,0,0.17,47.64,
,0,0,0.07,43.68,
