-11.811000, 4.293560
-11.049000, 5.791313
-10.287000, 9.385921
-9.525000, 14.977534
-8.763000, 21.567649
-8.001000, 30.354468
-7.239000, 43.934099
-6.477000, 62.406390
-5.715000, 83.674488
-4.953000, 91.263105
-4.191000, 93.559661
-3.429000, 94.757863
-2.667000, 95.956066
-1.905000, 96.954568
-1.143000, 98.252621
-0.381000, 99.350974
0.381000, 100.649026
1.143000, 101.647529
1.905000, 102.945582
2.667000, 103.544683
3.429000, 104.443335
4.191000, 105.142287
4.953000, 104.742886
5.715000, 95.856216
6.477000, 68.597104
7.239000, 45.132302
8.001000, 29.455816
8.763000, 18.072891
9.525000, 8.886670
10.287000, 4.293560
11.049000, 3.095357
11.811000, 2.496256
